Horizont,Modell,MAE,RMSE,MASE,MAPE %
8 h,Seasonal Naive,81.576,90.094,1.438,395.352
8 h,Prophet (Pers.),46.11,49.858,0.806,123.154
8 h,Prophet (PP),44.259,49.152,0.772,74.636
8 h,Chronos-2,21.466,25.226,0.373,55.979
8 h,TFT,22.889,26.936,0.405,58.345
24 h,Seasonal Naive,70.232,82.905,1.24,288.87
24 h,Prophet (Pers.),54.858,62.913,0.966,215.714
24 h,Prophet (PP),42.101,50.422,0.74,88.556
24 h,Chronos-2,24.127,31.456,0.424,67.934
24 h,TFT,26.215,33.674,0.464,65.161
48 h,Seasonal Naive,66.298,82.034,1.169,206.218
48 h,Prophet (Pers.),72.078,83.226,1.27,251.401
48 h,Prophet (PP),47.887,57.786,0.842,93.829
48 h,Chronos-2,31.591,41.442,0.554,83.981
48 h,TFT,30.354,39.945,0.537,65.725
72 h,Seasonal Naive,74.006,89.819,1.306,174.504
72 h,Prophet (Pers.),83.994,98.195,1.482,214.44
72 h,Prophet (PP),55.612,67.288,0.979,91.342
72 h,Chronos-2,38.555,49.771,0.677,90.261
72 h,TFT,35.463,46.422,0.628,70.952
